name,type,episodes,rating,members
Jewelpet Twinkle?,TV,52,7.67,4110
Juubee Ninpuuchou,Movie,1,7.67,55697
Kiznaiver,TV,12,7.67,197912
Kore wa Zombie Desu ka?,TV,12,7.67,295782
Mitsudomoe Special,Special,1,7.67,11354
New Prince of Tennis,TV,13,7.67,30630
Sakamoto desu ga?,TV,12,7.67,171452
Tatakae! Chou Robot Seimeitai Transformers,TV,98,7.67,5652
Tsubasa Chronicle,TV,26,7.67,134705
Aldnoah.Zero,TV,12,7.66,244193
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,1,7.66,122373
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Movie,1,7.66,91105
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,OVA,1,7.66,7726
Detective Conan: Conan vs. Kid - Jet Black Sniper,Movie,1,7.66,2119
Digimon Adventure tri. 1: Saikai,Movie,1,7.66,58274
Durarara!!x2 Ten: Onoroke Chakapoko,Special,1,7.66,16171
Girls und Panzer,TV,12,7.66,104275
Heroic Age,TV,26,7.66,62530
Kareshi Kanojo no Jijou,TV,26,7.66,94165
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Movie,1,7.66,2430
Konjiki no Gash Bell!!,TV,150,7.66,51403
Log Horizon 2nd Season,TV,25,7.66,215817
Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou,Special,4,7.66,5508
Mobile Suit Gundam Wing: Operation Meteor,OVA,4,7.66,6768
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,ONA,4,7.66,101495
Plawres Sanshirou,TV,37,7.66,1718
Pokemon: Mewtwo no Gyakushuu,Movie,1,7.66,100089
Shion no Ou,TV,22,7.66,20553
Slam Dunk: Zenkoku Seiha Da! Sakuragi Hanamichi,Movie,1,7.66,7992
Tales of Symphonia The Animation: Sekai Tougou-hen,OVA,3,7.66,14036
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie,1,7.66,12262
Udon no Kuni no Kiniro Kemari,TV,12,7.66,33885
UFO Robo Grendizer,TV,74,7.66,4381
Aa! Megami-sama! Movie,Movie,1,7.65,29330
Acchi Kocchi (TV),TV,12,7.65,127973
Area 88,OVA,3,7.65,6645
Darker than Black: Kuro no Keiyakusha Special,Special,1,7.65,87609
Detective Conan: Black History 2,Special,1,7.65,2718
Digimon Tamers,TV,51,7.65,94391
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Movie,1,7.65,1583
Flying Witch,TV,12,7.65,95933
Fushigi no Umi no Nadia,TV,39,7.65,24229
High School DxD BorN: Yomigaeranai Fushichou,OVA,1,7.66,22497
Jigoku Sensei Nube,TV,49,7.65,8908
Kappa no Coo to Natsuyasumi,Movie,1,7.65,6953
Majokko Shimai no Yoyo to Nene,Movie,1,7.65,8698
Minami-ke Okaeri,TV,13,7.65,45233
New Prince of Tennis Specials,Special,7,7.65,5524
Nijuu Mensou no Musume,TV,22,7.65,21009
Non Non Biyori: Okinawa e Ikukoto ni Natta,OVA,1,7.65,25169
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Movie,1,7.65,29771
Owari no Seraph,TV,12,7.65,315630
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,Special,1,7.65,6929
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1,7.65,33191
"Yondemasu yo, Azazel-san. Z",TV,13,7.65,20640
Aa! Megami-sama!: Sorezore no Tsubasa Specials,Special,2,7.64,16986
Bishoujo Senshi Sailor Moon SuperS,TV,39,7.64,55056
CLAMP in Wonderland 2,Music,1,7.64,13985
Detective Conan OVA 04: Conan and Kid and Crystal Mother,OVA,1,7.64,8974
Future GPX Cyber Formula Saga,OVA,8,7.64,1040
Ghost in the Shell: Arise - Border:1 Ghost Pain,Movie,1,7.64,31747
Hakuouki OVA,OVA,2,7.64,7791
Hellsing,TV,13,7.64,308995
Hokuto no Ken 2,TV,43,7.64,11090
Junjou Romantica Special,Special,1,7.64,17378
Kaitou Saint Tail,TV,43,7.64,8794
Kore wa Zombie Desu ka? of the Dead OVA,OVA,1,7.64,54828
Little Busters!,TV,26,7.64,138655
Marmalade Boy,TV,76,7.64,24745
Omoide Poroporo,Movie,1,7.64,39589
R.O.D the TV,TV,26,7.64,47053
Saint?Oniisan,OVA,2,7.64,33668
Sayonara Zetsubou Sensei Special,Special,1,7.63,9669
Suisei no Gargantia,TV,13,7.64,170754
Towa no Quon 3: Mugen no Renza,Movie,1,7.64,19053
Watashi ga Motete Dousunda,TV,12,7.64,57638
"Yondemasu yo, Azazel-san. (TV)",TV,13,7.64,42147
Amaama to Inazuma,TV,12,7.63,95339
Angel Beats!: Another Epilogue,Special,1,7.63,134180
Hakuouki Reimeiroku,TV,12,7.63,29485
Hokuto no Ken: Raoh Gaiden Gekitou-hen,Movie,1,7.63,4614
Initial D Battle Stage,OVA,1,7.63,13633
Konnichiwa Anne: Before Green Gables,TV,39,7.63,2723
Kuruneko,TV,50,7.63,2526
Love Live! Sunshine!!,TV,13,7.63,45246
Mardock Scramble: The First Compression,Movie,1,7.63,40698
Medaka Box Abnormal,TV,12,7.63,66972
Patalliro!,TV,49,7.63,2409
Perrine Monogatari,TV,53,7.63,1744
Rokka no Yuusha,TV,12,7.63,218747
Saki Achiga-hen: Episode of Side-A Specials,Special,4,7.63,9163
"Shin Kimagure Orange?Road: Soshite, Ano Natsu no Hajimari",Movie,1,7.63,4199
Sora no Otoshimono: Project Pink,OVA,1,7.63,61903
Suzumiya Haruhi-chan no Yuuutsu,ONA,25,7.63,70416
Uchuu Senkan Yamato 2,TV,26,7.63,3461
Yawara!,TV,124,7.63,6437
Accel World,TV,24,7.62,324284
Acchi Kocchi (TV): Place=Princess,Special,1,7.62,26246
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie,1,7.62,24968
Cardcaptor Sakura Specials,Special,3,7.62,18604
Darker than Black: Ryuusei no Gemini,TV,12,7.62,222243
Donten ni Warau,TV,12,7.62,57649
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Movie,1,7.62,65953
Dragon Ball Z Movie 14: Kami to Kami,Movie,1,7.62,66471
Fate/kaleid liner Prisma?Illya 3rei!!,TV,12,7.62,30457
Gallery Fake,TV,37,7.62,6806
Grimm Masterpiece Theater,TV,24,7.62,1938
Hello!! Kiniro Mosaic,TV,12,7.63,33295
Hidamari Sketch Specials,Special,2,7.62,13334
InuYasha: Guren no Houraijima,Movie,1,7.62,50008
Kuroko no Basket Movie 2: Winter Cup Soushuuhen - Namida no Saki e,Movie,1,7.61,5470
Metropolis,Movie,1,7.62,44030
Mobile Fighter G Gundam,TV,49,7.62,36338
Naruto: Shippuuden Movie 5 - Blood Prison,Movie,1,7.62,75660
Shigofumi,TV,12,7.62,54000
Shinryaku!? Ika Musume,TV,12,7.62,45613
Shokugeki no Souma OVA,OVA,3,7.62,24456
Shoubushi Densetsu Tetsuya,TV,20,7.62,3735
So Ra No Wo To Specials,Special,2,7.62,16491
Sweat Punch,OVA,5,7.62,26679
Yozakura Quartet: Tsuki ni Naku,OVA,3,7.62,13790
Yuusha Keisatsu J-Decker,TV,48,7.62,1116
Zero no Tsukaima,TV,13,7.62,346828
Aa! Megami-sama! (TV) Specials,Special,3,7.61,19257
Amagami SS+ Plus,TV,13,7.61,73813
Ayakashi: Japanese Classic Horror,TV,11,7.61,34938
Casshern Sins,TV,24,7.61,80307
Digimon Adventure Movie,Movie,1,7.61,60753
Freedom,OVA,7,7.61,13918
Gokudou-kun Manyuuki,TV,26,7.61,8131
Golgo 13 (TV),TV,50,7.61,18687
Kimagure Orange?Road OVA,OVA,8,7.61,3542
Lady Jewelpet,TV,52,7.61,3085
Magic Knight Rayearth II,TV,29,7.61,19209
Mobile Police Patlabor: The New Files,OVA,16,7.61,3952
Motto To LOVE-Ru,TV,12,7.61,134988
Planetarian: Chiisana Hoshi no Yume,ONA,5,7.61,38303
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu?Nijiiro no Hana,Movie,1,7.61,2842
Salaryman Kintarou,TV,20,7.61,4151
Sekirei: Pure Engagement,TV,13,7.61,113911
Senyuu. 2,TV,13,7.61,30726
Seto no Hanayome OVA Specials,Special,2,7.61,7011
Shugo Chara!,TV,51,7.61,121108
Snow Halation,Music,1,7.61,8731
Urusei Yatsura OVA,OVA,11,7.61,2470
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,1,7.61,80676
Yozakura Quartet: Hana no Uta,TV,13,7.61,58245
Akage no Anne,TV,50,7.60,9460
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Movie,1,7.60,134739
Chuunibyou demo Koi ga Shitai! Ren,TV,12,7.60,208885
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,Special,1,7.60,72085
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,Special,1,7.60,2506
Detective Conan Movie 11: Jolly Roger in the Deep Azure,Movie,1,7.60,18847
Fune wo Amu,TV,11,7.60,28620
Ganbare Genki,TV,35,7.60,805
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,Movie,1,7.60,19565
Gochuumon wa Usagi Desu ka?,TV,12,7.60,82999
Hottarake no Shima: Haruka to Mahou no Kagami,Movie,1,7.60,6517
Jibaku-kun,TV,26,7.60,6036
Kamichu! Specials,Special,4,7.60,6978
Kidou Senkan Nadesico,TV,26,7.60,27976
On Your Mark,Music,1,7.60,13661
"One More Time, One More Chance",Music,1,7.60,5660
One Piece: Romance Dawn,OVA,1,7.60,8326
Otome Youkai Zakuro,TV,13,7.60,61957
Persona 4 the Animation: No One is Alone,Special,1,7.60,26501
Pretty Rhythm: Aurora Dream,TV,51,7.60,9431
Prince of Tennis: Eikokushiki Teikyuu Shiro Kessen!,Movie,1,7.60,6162
Psycho-Pass 2,TV,11,7.60,228435
Samurai 7,TV,26,7.60,74991
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,Special,1,7.60,6752
Shinryaku! Ika Musume,TV,12,7.60,95242
Shonan Junai Gumi!,OVA,5,7.60,20261
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,OVA,2,7.60,3208
So Ra No Wo To,TV,12,7.60,84390
Tales of Zestiria the X,TV,12,7.60,107325
Tenshi na Konamaiki,TV,50,7.60,15077
Toshokan Sensou,TV,12,7.60,38882
Zero no Tsukaima: Princesses no Rondo,TV,12,7.60,210891
Acchi Kocchi,Movie,1,7.59,3433
Afro Samurai Movie,Movie,1,7.59,21622
City Hunter: Ai to Shukumei no Magnum,Movie,1,7.59,3368
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,Movie,1,7.59,45069
Hikaru no Go Special,OVA,1,7.59,4253
Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Special,3,7.59,12153
Kemonozume,TV,13,7.59,33086
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Special,1,7.59,17967
Kyou kara Maou! R,OVA,5,7.59,14845
Mai-HiME,TV,26,7.59,76492
Mikakunin de Shinkoukei,TV,12,7.59,133385
Mobile Police Patlabor: The Movie,Movie,1,7.59,14779
Mugen no Ryvius,TV,26,7.59,22714
Noblesse: Pamyeol-ui Sijak,OVA,1,7.59,12418
One Piece: Straw Hat Theater,Special,5,7.59,17153
Osomatsu-san Special,Special,1,7.59,5005
Patapata Hikousen no Bouken,TV,26,7.59,2629
Perfect Day,Music,1,7.59,7743
Rakuen Tsuihou: Expelled from Paradise,Movie,1,7.59,46678
Shinreigari: Ghost Hound,TV,22,7.59,78469
Shoujo Kakumei Utena: Adolescence Mokushiroku,Movie,1,7.59,22219
Shugo Chara!! Doki,TV,51,7.59,60384
Taiho Shichau zo (1996),TV,47,7.59,12156
Tetsujin 28-gou (2004),TV,26,7.59,1826
Yamada-kun to 7-nin no Majo (OVA),OVA,2,7.59,33816
Aishiteruze Baby??,TV,26,7.58,63959
Aoki Hagane no Arpeggio: Ars Nova DC,Movie,1,7.58,11943
Bleach Movie 1: Memories of Nobody,Movie,1,7.58,151598
Brave Story,Movie,1,7.58,24523
Candy Candy,TV,115,7.58,11893
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,Special,1,7.58,31808
Cross Road,Special,1,7.58,23038
Fate/stay night,TV,24,7.58,374880
Fate/stay night Movie: Unlimited Blade Works,Movie,1,7.58,110983
Grimm Masterpiece Theater II,TV,23,7.58,1169
Hetalia: The World Twinkle,ONA,15,7.58,15872
Level E,TV,13,7.58,55252
Naruto x UT,OVA,1,7.58,23465
Shin Chou Kyou Ryo: Condor Hero III,TV,26,7.58,1377
Taiyou no Kiba Dagram,TV,75,7.58,1825
The iDOLM@STER: 765 Pro to Iu Monogatari,Special,1,7.58,13342
Uchuu no Kishi Tekkaman Blade,TV,49,7.58,8546
Amagami SS,TV,25,7.57,157223
Boku wa Tomodachi ga Sukunai,TV,12,7.57,325664
Chobits,TV,26,7.57,266846
Chrome Shelled Regios,TV,24,7.57,103615
Dareka no Manazashi,Movie,1,7.57,28138
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,OVA,1,7.57,7187
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,Movie,1,7.57,1970
Hakkenden: Touhou Hakken Ibun,TV,13,7.57,61017
Hakuouki,TV,12,7.57,90612
Heppoko Jikken Animation Excel?Saga,TV,26,7.57,68198
Kore wa Zombie Desu ka? OVA,OVA,2,7.57,73826
Mardock Scramble: The Third Exhaust,Movie,1,7.57,20459
Minami-ke Betsubara,OVA,1,7.57,21534
Nisekoi OVA,OVA,3,7.57,65287
Nodame Cantabile OVA,OVA,1,7.57,17667
Paniponi Dash!,TV,26,7.57,38532
Rozen Maiden,TV,12,7.57,128688
Saki,TV,25,7.57,55970
Sengoku Basara,TV,12,7.57,93940
Shashinkan,Movie,1,7.57,1910
Super GALS! Kotobuki Ran,TV,52,7.57,10369
The Big O,TV,26,7.57,45843
Yu?Gi?Oh! Duel Monsters,TV,224,7.57,132099
Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,Special,1,7.56,10069
Carnival Phantasm EX Season,OVA,1,7.56,22955
Charlotte: Tsuyoi Monotachi,Special,1,7.56,39137
City Hunter: The Secret Service,Special,1,7.56,2956
Date A Live Movie: Mayuri Judgment,Movie,1,7.56,48673
Doraemon Movie 26: Nobita no Kyouryuu 2006,Movie,1,7.56,2262
Genshiken Nidaime,TV,13,7.56,29952
Gokinjo Monogatari,TV,50,7.56,7279
Hetalia Axis Powers Fan Disc,OVA,3,7.56,8070
Higashi no Eden: Falling Down,Music,1,7.56,9881
Higurashi no Naku Koro ni Rei,OVA,5,7.56,99463
Kara no Kyoukai: Mirai Fukuin - Extra Chorus,Special,1,7.56,14891
Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,Movie,1,7.56,2048
Mobile Suit Gundam II: Soldiers of Sorrow,Movie,1,7.56,11325
"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,1,7.56,1113
Nihon Animator Mihonichi,ONA,35,7.56,16942
Orange: Mirai,Movie,1,7.56,29969
Saiyuuki Reload Gunlock,TV,26,7.56,11233
Simoun,TV,26,7.56,24664
Sugar Sugar Rune,TV,51,7.56,16484
Tanoshii Muumin Ikka Bouken Nikki,TV,26,7.56,2740
Tasogare Otome x Amnesia: Taima Otome,Special,1,7.56,38176
Tenshi no Tamago,OVA,1,7.56,35634
Tetsuwan Birdy Decode,TV,13,7.56,50384
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,OVA,1,7.56,37609
Waga Seishun no Arcadia: Mugen Kidou SSX,TV,22,7.56,2587
X,TV,24,7.56,51004
Zipang,TV,26,7.56,8630
AKB0048,TV,13,7.55,37763
Aoki Hagane no Arpeggio: Ars Nova,TV,12,7.55,84708
Blood Lad,TV,10,7.55,241513
Captain Harlock,Movie,1,7.56,25484
City Hunter: Hyakuman Dollar no Inbou,OVA,1,7.55,2881
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara,Movie,1,7.55,39669
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV,13,7.55,122271
Date A Live: Date to Date,OVA,1,7.55,68328
Dragon Ball Z Movie 15: Fukkatsu no F,Movie,1,7.55,41051
ef: A Tale of Memories. - Recollections,Special,1,7.55,9125
Fairy Tail OVA (2016),OVA,3,7.55,19464
Full Metal Panic! The Second Raid Episode 000,Special,1,7.55,25423
God Eater,TV,13,7.55,192433
Gunslinger Girl,TV,13,7.55,106865
Hi no Ame ga Furu,Movie,1,7.55,513
Himouto! Umaru-chan,TV,12,7.55,158041
Hokuto no Ken Zero: Kenshirou Den,Movie,1,7.55,4278
Joshiraku,TV,13,7.55,51084
Kaichou wa Maid-sama!: Omake dayo!,Special,1,7.55,52752
Kaikan Phrase,TV,44,7.55,8142
Kuroshitsuji II,TV,12,7.55,234955
Lodoss-tou Senki,OVA,13,7.55,28462
Lupin III: Otakara Henkyaku Daisakusen!!,Special,1,7.55,2871
Maria-sama ga Miteru Specials,Special,7,7.55,6085
Masuda Kousuke Gekijou Gag Manga Biyori 2,TV,12,7.55,1846
Mobile Suit Gundam Seed Destiny Final Plus: The Chosen Future,OVA,1,7.55,16102
Mobile Suit Gundam Unicorn RE:0096,TV,22,7.56,9767
One Piece: Romance Dawn Story,OVA,1,7.55,21306
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",TV,10,7.55,179569
RahXephon,TV,26,7.55,66751
Shinryaku!! Ika Musume,OVA,3,7.55,13456
Sunabouzu,TV,24,7.55,65516
Tegamibachi: Hikari to Ao no Gensou Yawa,Special,1,7.55,10903
Tonari no Seki-kun Specials,Special,2,7.55,14248
True Tears,TV,13,7.55,118644
Bobobo-bo Bo-bobo,TV,76,7.54,39041
Bokura ga Ita,TV,26,7.54,125051
Chou Denji Machine Voltes V,TV,40,7.54,3201
Chouyaku Hyakuninisshu: Uta Koi.,TV,13,7.54,15661
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,Special,1,7.54,7542
Date A Live,TV,12,7.54,301358
Doraemon Movie 28: Nobita to Midori no Kyojin Den,Movie,1,7.54,1651
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,Movie,1,7.54,50607
Fairy Tail x Rave,OVA,1,7.54,51844
Future GPX Cyber Formula,TV,37,7.54,2707
Hime-chan no Ribbon,TV,61,7.54,3589
Hokuto no Ken: Raoh Gaiden Junai-hen,Movie,1,7.54,4907
Initial D Extra Stage 2,OVA,1,7.54,11468
Karas,OVA,6,7.54,44108
Nanatsu no Umi no Tico,TV,39,7.54,2123
Ookiku Furikabutte: Natsu no Taikai-hen Special,Special,1,7.54,4786
Puchi Puri Yuushi,TV,26,7.54,8030
Saiyuuki Reload,TV,25,7.54,16298
Shigurui,TV,12,7.54,50091
Super Lovers,TV,10,7.54,36781
Tamayura: More Aggressive,TV,12,7.54,10901
Tenchi Muyou!,TV,26,7.54,38372
Toradora!: Bentou no Gokui,Special,1,7.54,71433
Vandread: The Second Stage,TV,13,7.54,36264
Wangan Midnight,TV,26,7.54,10058
Aoki Densetsu Shoot!,TV,58,7.53,6937
Ashita no Joe 2 (Movie),Movie,1,7.53,1396
Cowboy Bebop: Yose Atsume Blues,Special,1,7.53,19565
Gundam Build Fighters Try,TV,25,7.53,17946
Hiyokoi,Special,1,7.53,51072
Hoshi no Koe,OVA,1,7.53,85492
Kamisama no Inai Nichiyoubi,TV,12,7.53,122031
Magic Knight Rayearth,TV,20,7.53,34141
Mayo Chiki!,TV,13,7.53,192219
Naruto: Shippuuden Movie 4 - The Lost Tower,Movie,1,7.53,84527
Nitaboh,Movie,1,7.53,4413
Pale Cocoon,OVA,1,7.53,44030
Sankarea,TV,12,7.53,222657
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,TV,12,7.53,193822
Shin Chou Kyou Ryo: Condor Hero,TV,26,7.53,4777
Towa no Quon 1: Utakata no Kaben,Movie,1,7.53,33550
Towa no Quon 2: Konton no Ranbu,Movie,1,7.53,20132
Trinity Seven OVA,OVA,1,7.53,38197
UN-GO,TV,11,7.53,84499
Uta no?Prince-samad Maji Love 2000%,TV,13,7.53,61551
Vampire Knight Guilty,TV,13,7.53,198492
Whistle!,TV,39,7.53,8040
Yomigaeru Sora: Rescue Wings,TV,12,7.53,6871
Yu?Gi?Oh!: The Dark Side of Dimensions,Movie,1,7.53,10263
Angel Densetsu,OVA,2,7.52,10795
Black Cat,TV,23,7.52,150512
Flanders no Inu,TV,52,7.52,2411
Fuse: Teppou Musume no Torimonochou,Movie,1,7.52,13412
Future GPX Cyber Formula 11,OVA,6,7.52,1116
Ghost in the Shell: Arise - Border:3 Ghost Tears,Movie,1,7.52,21648
Glass no Kamen,TV,23,7.52,4218
Harmonie,Movie,1,7.52,29029
Kamikaze Kaitou Jeanne,TV,44,7.52,31081
Kanojo to Kanojo no Neko,OVA,1,7.52,53463
Kowarekake no Orgel (Movie),Movie,1,7.52,9404
Kure-nai,TV,12,7.52,59099
Mahou Shoujo Lyrical Nanoha,TV,13,7.52,62582
Monster Musume no Iru Nichijou OVA,OVA,2,7.52,13248
Nanatsu no Taizai: Seisen no Shirushi,TV,4,7.52,81154
Nijiiro Days,TV,24,7.52,57920
Ojamajo Doremi Dokkaan!,TV,51,7.52,5971
Oruchuban Ebichu,TV,24,7.52,21109
Otona Joshi no Anime Time,Special,4,7.52,11268
Outbreak Company,TV,12,7.52,131520
Persona 4 the Animation: The Factor of Hope,Movie,1,7.52,10757
Pokemon XY,TV,93,7.52,30722
Ranma ?: Kessen Tougenkyou! Hanayome wo Torimodose!,Movie,1,7.52,12418
Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,Special,1,7.52,12097
Scrapped Princess,TV,24,7.52,54575
Seitokai no Ichizon,TV,12,7.52,110470
Selector Spread WIXOSS,TV,12,7.52,42918
Slayers Evolution-R,TV,13,7.52,20508
Taiho Shichau zo: Second Season,TV,26,7.52,5387
Tales of Zestiria: Doushi no Yoake,Special,1,7.52,23484
Tenchi Muyou! in Love,Movie,1,7.52,14318
Tokyo Ghoul vA,TV,12,7.52,408357
Yuuki Yuuna wa Yuusha de Aru,TV,12,7.52,59192
Ajin Part 2: Shoutotsu,Movie,1,7.51,11377
Busou Renkin,TV,26,7.51,104607
City Hunter: Bay City Wars,Movie,1,7.51,2969
Detective Conan Bonus File: Fantasista Flower,OVA,1,7.51,4596
Detective Conan OVA 11: A Secret Order from London,OVA,1,7.51,5985
Doraemon Movie 05: Nobita no Makai Daibouken,Movie,1,7.51,1321
Garo: Honoo no Kokuin,TV,24,7.51,64214
Hidamari Sketch,TV,12,7.51,42998
Honoo no Toukyuuji: Dodge Danpei,TV,47,7.51,2214
Joshiraku OVA,OVA,1,7.51,9358
Kamichama Karin,TV,26,7.51,30747
Kamichu!,TV,12,7.51,33053
Little Nemo,Movie,1,7.51,4886
Maria-sama ga Miteru 3rd Specials,Special,5,7.51,5072
Maria-sama ga Miteru: Haru Specials,Special,6,7.51,5554
Mirai Nikki,OVA,1,7.51,114217
Moonlight Mile 2nd Season: Touch Down,TV,14,7.51,2758
Oban Star-Racers,TV,26,7.51,24156
Papa no Iukoto wo Kikinasai!,TV,12,7.51,97674
Raiyantsuuri no Uta,Movie,1,7.51,465
Rurouni Kenshin Special,Special,1,7.51,9173
Sakigake!! Otokojuku,TV,34,7.51,4740
Sentou Mecha Xabungle,TV,50,7.51,1518
Shin Chou Kyou Ryo: Condor Hero II,TV,26,7.51,2151
Taiho Shichau zo,OVA,4,7.51,8557
To LOVE-Ru OVA,OVA,6,7.51,79923
Winter Sonata,TV,26,7.51,13582
WWW.Working!!,TV,13,7.51,40779
Yama no Susume Second Season,TV,24,7.51,11413
Another: The Other - Inga,OVA,1,7.50,86261
Bartender,TV,11,7.50,44394
Cheburashka,Movie,1,7.50,545
Cinderella Monogatari,TV,26,7.50,3560
Date A Live II,TV,10,7.50,186187
Dotto Koni-chan,TV,26,7.50,1397
Fullmetal Alchemist: The Sacred Star of Milos,Movie,1,7.50,87944
Gangsta.,TV,12,7.50,210752
Gatchaman Crowds: Embrace,Special,1,7.50,10757
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),TV,12,7.50,7582
Hadashi no Gen 2,Movie,1,7.50,4910
Hetalia: The World Twinkle Specials,Special,3,7.50,2505
Hibike! Euphonium: Kakedasu Monaka,Special,1,7.50,17770
Karakuri Zoushi Ayatsuri Sakon,TV,26,7.50,6197
Kaze no Stigma,TV,24,7.50,205338
Kindaichi Shounen no Jikenbo Returns 2nd Season,TV,22,7.50,3676
Kono Bijutsubu ni wa Mondai ga Aru!,TV,12,7.50,69088
Lupin III: Part III,TV,50,7.50,6883
Mardock Scramble: The Second Combustion,Movie,1,7.50,23866
Marmalade Boy Movie,Movie,1,7.50,5641
Mnemosyne: Mnemosyne no Musume-tachi,TV,6,7.50,96092
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,Movie,1,7.50,83515
Nisekoi:,TV,12,7.50,180686
Nodame Cantabile Special,Special,1,7.50,19570
One Piece: Adventure of Nebulandia,Special,1,7.50,9777
Ranma ?: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Movie,1,7.50,9597
Sakasama no Patema: Beginning of the Day,Special,4,7.50,16933
Seikai no Senki Special,Special,1,7.50,2216
Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,OVA,1,7.50,19219
Uchuu Show e Youkoso,Movie,1,7.50,11368
Yuu?Yuu?Hakusho: Eizou Hakusho II,OVA,4,7.50,6166
Baka to Test to Shoukanjuu Specials,Special,6,7.49,29923
Ben-To,TV,12,7.49,146570
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV,13,7.49,298550
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,TV,13,7.49,73285
Doraemon,TV,26,7.49,9366
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Special,1,7.49,34230
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Movie,1,7.49,6392
Kaze no Shoujo Emily,TV,26,7.49,2881
Kowarekake no Orgel,OVA,1,7.49,24876
Love Lab,TV,13,7.49,79493
Love Live! School Idol Project 2nd Season Recap,OVA,1,7.50,3213
Mai-Otome 0: S.ifr,OVA,3,7.49,11171
Maison Ikkoku: Kanketsu-hen,Movie,1,7.49,3109
Mazinger Z,TV,92,7.49,5746
One Piece: Mamore! Saigo no Dai Butai,Special,1,7.49,16495
Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,12,7.49,321477
Pandora Hearts Specials,Special,9,7.49,32103
Qin Shiming Yue Zhi: Zhu Zi Bai Jia,TV,34,7.49,369
Saki Zenkoku-hen,TV,13,7.49,19010
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,TV,12,7.49,99665
Senyuu.,TV,13,7.49,56815
Shakugan no Shana S,OVA,4,7.49,53129
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,OVA,1,7.49,2049
Soukyuu no Fafner: Right of Left - Single Program,Special,1,7.49,9482
Strike Witches: Operation Victory Arrow,OVA,3,7.49,11203
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",Special,1,7.49,2770
